label,trajectory
NO_HANDSHAKE,"539,254;536,253;532,253;530,252;527,250;525,251;517,233;515,232;506,232;499,234;493,241;489,246;486,249;484,250;482,252;481,254;479,256;476,256;473,257;471,256;468,257;465,259;456,263;448,266;442,267;439,268;436,268;434,266"
HANDSHAKE,"521,267;521,272;513,290;505,305;485,332;467,361;456,384;446,399;458,409;453,405;475,385;476,362;478,340;480,324;485,314;490,311;492,313;496,312;490,331;476,365;464,398;447,416;438,421;436,413;445,421;451,425;457,421"
HANDSHAKE,"455,490;452,489;446,488;440,482;434,472;430,458;427,442;425,422;428,398;432,370;443,340;461,361;464,364;457,358;423,298;423,253;459,206;498,173;542,146;586,129;626,131;661,150;686,186;676,273;660,337;636,374;608,385;570,349;549,337;535,322;527,306;526,288;528,273;533,259;502,274;472,279;451,267;436,246"
HANDSHAKE,"709,452;709,446;697,458;687,461;678,467;672,468;667,469;662,468;659,473;652,470;650,476;647,474;646,478;643,476;642,480;641,478;641,482;638,479;637,482;633,477;631,482;628,480;627,483;625,480;625,484;623,481;624,478;624,475;625,470;625,467;627,462;627,456;626,447;629,443;634,439;639,436;649,429;658,421;669,411;679,399;687,387;694,376;699,367;705,360;710,352;714,342;720,334;724,325;730,319;738,313;745,307;751,303;755,300;763,292;773,279;784,267;779,290;769,310;757,325;748,335;740,345;738,351;741,355;743,357;739,359;735,360;730,362;727,365;727,368;730,366;732,367;731,369;730,374;728,381;727,386;725,392;723,397;722,400;719,400;715,400;710,400;706,399;710,412;712,421;714,429;714,435;715,440;712,445;711,449;711,452;709,455;706,459;705,462;705,465;704,469;705,472;703,474;701,477;696,481;684,487;674,495;664,502;657,508;652,512;646,517;638,523;634,527;629,531;626,536;624,539;620,542;617,545;615,548;613,550;610,553;608,556;604,559;602,563;599,566;596,569"
HANDSHAKE,"461,365;462,367;461,372;463,373;443,380;422,384;399,382;390,379;379,375;367,367;352,358;340,348;327,340;317,335;309,334;299,337;292,343;285,349;278,357;272,362;271,371;265,376;260,384;257,393;253,403;248,411;245,420;242,426;238,432;232,438;226,443;220,449;212,453;205,458;201,463;197,467;194,470;191,473;191,477;188,479;185,481;181,483;179,486;177,489;176,492;176,495;172,494;169,491;166,491;166,496;169,501;172,504;182,507;188,506;193,506;198,506;202,506;207,509;210,512;212,513;228,520;237,528;238,531;235,531;235,528;236,526;239,525;265,502;284,482;302,467;315,455;326,444;336,435;344,430;351,426;356,425;362,426;365,425;365,430;362,437;359,441;355,447;352,452;352,457;349,459;346,461;341,461;338,460;357,491;371,513;379,528;385,529;395,529;406,526;431,511;457,500;481,492;503,486;520,479;538,469;560,459"
NO_HANDSHAKE,"577,262;578,266;580,273;582,281;582,288;581,292;579,294;576,295;572,295;568,295;565,295;562,294;562,290;562,285;562,282;562,279;560,277;558,274;552,276;546,277;542,278;613,329;660,357;689,371;707,374;718,374;725,372;730,371;733,371;735,370;736,367;734,364;733,362;731,361;728,361;729,358;731,357;733,354;736,353;738,352;737,348;744,339;748,334;751,331;754,330;757,330;753,329;751,327;749,324;747,320;745,315;744,311;744,308;746,307;749,305;751,303;753,301;757,295;761,290;765,287;768,284;770,282;775,282;778,282;783,283;788,284;794,285;798,285;801,284;804,282;807,281;810,280;814,278;817,277;820,276;823,275;826,275;829,275;832,277;837,288;842,298;844,304;846,309;848,313;848,317;848,320;849,322;851,325;855,328;860,331;866,334;873,338;880,342;889,347;896,351;902,353;909,356;912,358;918,360;923,360;929,360;932,360;936,359;938,357;940,356;941,352;942,350;941,345;939,344"
NO_HANDSHAKE,"922,193;919,193;916,192;914,191;914,194;912,192;910,194;909,198;910,200;912,201;911,198;909,197;907,196;905,194;904,191;905,193;906,196;907,198;909,200;911,201;913,202;916,202;920,204;923,206;926,208;929,210;931,212;933,214;936,219;938,222;939,225;939,228;938,231;938,234;938,237;937,239;935,240;932,238;932,235;931,233;929,232;928,230;927,232;925,234;927,236;930,236"
NO_HANDSHAKE,"681,399;682,393;682,387;682,382;686,356;687,332;690,311;692,295;694,282;694,274;685,272;678,269;673,269;670,268;666,269;660,269;654,267;649,264;647,261;649,257;655,252;668,245;685,244;703,244"
HANDSHAKE,"512,197;509,197;506,197;505,201;504,204;504,208;503,211;502,214;502,211;502,205;502,200;502,195;502,190;502,187;501,182;499,177;499,172;500,166;505,162;510,161;518,157;526,151;531,141;535,129;496,100;476,83;461,62;489,66;511,68;526,72;536,75;538,76;529,75;523,71;569,87;605,97;627,109;649,122;668,138;689,161;664,170"
HANDSHAKE,"571,161;574,162;577,163;581,166;584,168;585,171;586,173;590,174;591,172;593,176;593,180;593,183;594,180;596,177;594,175;591,178;596,193;601,223;607,261;610,313;606,361;599,395;596,420;595,438;596,452;598,463;600,472;605,480;611,486;618,490;625,493;631,494;639,494;645,492;649,490;654,488;658,486;660,485;663,484;667,484;670,484;674,486;680,489;685,491;692,493;694,495;697,497;696,499;694,501;692,505"
